U5a3f,娿,啊
U5614,嘔,呕
U8026,耦,偶
U6c43,汃,趴
U74df,瓟,爬
U556a,啪,帕
U556a,啪,怕
U556a,啪,拍
U68d1,棑,排
U7c30,簰,牌
U68d1,棑,徘
U54cc,哌,派
U897b,襻,攀
U700b,瀋,潘
U76e4,盤,盘
U6610,昐,盼
U6ebf,溿,畔
U53db,叛,判
U5224,判,叛
U5390,厐,庞
U81f1,臱,旁
U772b,眫,胖
U62cb,拋,抛
U5789,垉,咆
U94c7,铇,刨
U5789,垉,炮
U5789,垉,袍
U5789,垉,跑
U5789,垉,泡
U600c,怌,呸
U638a,掊,培
U5a44,婄,赔
U5a44,婄,陪
U84dc,蓜,配
U59f5,姵,佩
U6fc6,濆,喷
U6e53,湓,盆
U6cd9,泙,砰
U6189,憉,彭
U8391,莑,蓬
U580b,堋,棚
U8420,萠,朋
U9d6c,鵬,鹏
U552a,唪,捧
U6e74,湴,碰
U567c,噼,霹
U7eb0,纰,批
U6036,怶,披
U567c,噼,劈
U88e8,裨,脾
U6036,怶,皮
U82c9,苉,匹
U5e87,庇,屁
U8439,萹,篇
U5aa5,媥,偏
U723f,爿,片
U9a19,騙,骗
U5f6f,彯,飘
U6153,慓,漂
U560c,嘌,票
U6f4e,潎,撇
U6f4e,潎,瞥
U62da,拚,拼
U983b,頻,频
U8ca7,貧,贫
U95c6,闆,品
U5a09,娉,聘
U5cbc,岼,坪
U6cd9,泙,苹
U6cd9,泙,萍
U5cbc,岼,平
U6191,憑,凭
U7501,甁,瓶
U5c5b,屛,屏
U5ca5,岥,坡
U79e1,秡,泼
U6ac7,櫇,颇
U5619,嘙,婆
U5ca5,岥,破
U5ef9,廹,迫
U5724,圤,扑
U8217,舗,铺
U5724,圤,仆
U530d,匍,葡
U7b81,箁,菩
U900b,逋,埔
U5724,圤,朴
U9420,鐠,谱
U9464,鑤,瀑
U5258,剘,期
U5258,剘,欺
U5601,嘁,戚
U60bd,悽,妻
U2466,⑦,七
U5a38,娸,其
U8ac6,諆,棋
U6e0f,渏,奇
U5fee,忮,歧
U6589,斉,齐
U9a0f,騏,骑
U8c48,豈,岂
U9623,阣,乞
U4f71,佱,企
U6675,晵,启
U5650,噐,器
U6c23,氣,气
U68c4,棄,弃
U6dc7,淇,泣
U62e4,拤,掐
U6481,撁,牵
U925b,鉛,铅
U8289,芉,千
U7c3d,簽,签
U55db,嗛,谦
U5898,墘,乾
U9322,錢,钱
U6e54,湔,前
U6ff3,濳,潜
U6dfa,淺,浅
U82a1,芡,欠
U55db,嗛,歉
U7197,熗,枪
U6ff8,濸,呛
U5af1,嫱,墙
U5af1,嫱,蔷
U5f37,強,强
U7197,熗,抢
U6bc3,毃,敲
U4f7e,佾,悄
U55ac,喬,桥
U8dad,趭,瞧
U55ac,喬,乔
U55ac,喬,侨
U6bf3,毳,撬
U8dac,趬,翘
U4f7e,佾,俏
U7ac5,竅,窍
U82c6,苆,切
U82c6,苆,茄
U82f4,苴,且
U611c,愜,怯
U82c6,苆,窃
U57d0,埐,侵
U512d,儭,亲
U84c1,蓁,秦
U5656,噖,琴
U61c4,懄,勤
U6a8e,檎,擒
U5659,噙,禽
U5bd1,寑,寝
U570a,圊,青
U8f15,輕,轻
U50be,傾,倾
U51ca,凊,清
U5568,啨,晴
U51ca,凊,情
U9803,頃,顷
U57e5,埥,请
U7aae,窮,穷
U5062,偢,秋
U5775,坵,丘
U6d57,浗,球
U6d57,浗,求
U5aa8,媨,酋
U5c96,岖,区
U6d40,浀,曲
U8ec0,軀,躯
U99c6,駆,驱
U63ab,掫,取
U5a5c,婜,娶
U53be,厾,去
U571c,圜,圈
U6b0a,權,权
U8472,葲,泉
U6d24,洤,全
U5420,吠,犬
U52e7,勧,劝
U849b,蒛,缺
U537b,卻,却
U78ba,確,确
U5cee,峮,裙
U7fa3,羣,群
U562b,嘫,然
U562b,嘫,燃
U59cc,姌,冉
U5aa3,媣,染
U5b43,孃,嚷
U8b93,讓,让
U96a2,隢,饶
U64fe,擾,扰
U96a2,隢,绕
U6179,慹,热
U82a2,芢,仁
U4ebe,亾,人
U6d8a,涊,忍
U59d9,姙,任
U8a8d,認,认
U5204,刄,刃
U3116,ㄖ,日
U5ac6,嫆,蓉
U701c,瀜,融
U5ac6,嫆,熔
U5ac6,嫆,溶
U5ac6,嫆,容
U7d68,絨,绒
U6e18,渘,揉
U6e18,渘,柔
U79b8,禸,肉
U7b4e,筎,茹
U6fe1,濡,儒
U6d33,洳,如
U5ab7,媷,辱
U8097,肗,汝
U53fa,叺,入
U8edf,軟,软
U670a,朊,阮
U60e2,惢,蕊
U92b3,銳,锐
U6f64,潤,闰
U6f64,潤,润
U5a7c,婼,若
U5f1c,弜,弱
U6f75,潵,撒
U7051,灑,洒
U856f,蕯,萨
U567b,噻,塞
U567b,噻,赛
U5f61,彡,三
U5098,傘,伞
U6f75,潵,散
U939f,鎟,桑
U939f,鎟,嗓
U55aa,喪,丧
U9a12,騒,骚
U6383,掃,扫
U6eb2,溲,嫂
U8103,脃,色
U6f80,澀,涩
U6f79,潹,森
U838f,莏,莎
U5526,唦,砂
U644b,摋,杀
U95b7,閷,刹
U4e77,乷,沙
U503d,倽,啥
U7e7a,繺,煞
U7be9,篩,筛
U66ec,曬,晒
U59cd,姍,珊
U5c7e,屾,山
U527c,剼,删
U91e4,釤,衫
U9581,閁,闪
U965d,陝,陕
U50d0,僐,善
U8a15,訕,汕
U5093,傓,扇
U50b7,傷,伤
U5547,啇,商
U8cde,賞,赏
U4ee9,仩,上
U5c19,尙,尚
U54e8,哨,梢
U54e8,哨,捎
U54e8,哨,稍
U71d2,燒,烧
U6c4b,汋,勺
U4eef,仯,少
U5372,卲,邵
U8891,袑,绍
U8675,虵,蛇
U8219,舙,舌
U820e,舎,舍
U6442,摂,摄
U6e09,渉,涉
U6dbb,涻,社
U850e,蔎,设
U59bd,妽,申
U8a37,訷,伸
U88d1,裑,身
U5814,堔,深
U8a37,訷,绅
U926e,鉮,神
U700b,瀋,沈
U8c09,谉,审
U5b38,嬸,婶
U5359,卙,甚
U814e,腎,肾
U692e,椮,渗
U6bb8,殸,声
U6ce9,泩,生
U72cc,狌,牲
U5731,圱,升
U7e69,繩,绳
U6e3b,渻,省
U58ad,墭,盛
U4e57,乗,剩
U591d,夝,胜
U8056,聖,圣
U6eae,溮,师
U59b7,妷,失
U6d49,浉,狮
U6e64,湤,施
U6fd5,濕,湿
U8a69,詩,诗
U8fc9,迉,尸
U62fe,拾,十
U5767,坧,石
U6e41,湁,拾
U6ea1,溡,时
U55b0,喰,食
U5be6,實,实
U8b58,識,识
U5c4d,屍,屎
U99b6,馶,驶
U927d,鉽,式
U6cb6,沶,示
U4ed5,仕,士
U8fe3,迣,世
U67be,枾,柿
U5033,倳,事
U8fe3,迣,逝
U52e2,勢,势
U6e5c,湜,是
U98fe,飾,饰
U5dff,巿,市
U5394,厔,室
U8996,視,视
U927d,鉽,试
U834d,荍,收
U63b1,掱,手
U6e1e,渞,首
U57a8,垨,守
U58fd,壽,寿
U6dad,涭,授
U8fa4,辤,受
U75e9,痩,瘦
U7363,獣,兽
U59dd,姝,殊
U677c,杼,抒
U702d,瀭,输
U57f1,埱,叔
U5fec,忬,舒
U850b,蔋,淑
U66f8,書,书
U5b70,孰,熟
U6fd0,濐,暑
U7659,癙,鼠
U5c6c,屬,属
U672e,朮,术
U6cad,沭,述
U6a39,樹,树
U5a15,娕,束
U7aea,竪,竖
U85ae,薮,数
U5530,唰,刷
U7f1e,缞,衰
U5e25,帥,帅
U62f4,拴,栓
U7040,灀,霜
U53d2,叒,双
U6464,摤,爽
U8ab0,誰,谁
U6e01,渁,水
U8144,腄,睡
U6329,挩,税
U6a53,橓,瞬
U9806,順,顺
U6a53,橓,舜
U8aac,説,说
U78a9,碩,硕
U720d,爍,烁
U51d8,凘,斯
U51d8,凘,撕
U51d8,凘,嘶
U5072,偲,思
U4fec,俬,私
U545e,呞,司
U565d,噝,丝
U5c4d,屍,死
U5cd9,峙,寺
U2463,④,四
U59d2,姒,似
U83d8,菘,松
U8073,聳,耸
U980c,頌,颂
U93b9,鎹,送
U6d68,浨,宋
U8aa6,誦,诵
U6eb2,溲,搜
U8607,蘇,苏
U5aca,嫊,素
U8d9a,趚,速
U612c,愬,塑
U8e5c,蹜,宿
U8a34,訴,诉
U6b57,歗,肃
U7958,祘,蒜
U5334,匴,算
U964f,陏,隋
U96a8,隨,随
U6d7d,浽,绥
U8ab6,誶,碎
U5d57,嵗,岁
U5b18,嬘,遂
U5b6b,孫,孙
U640d,損,损
U9021,逡,梭
U9021,逡,唆
U7e2e,縮,缩
U9396,鎖,琐
U938d,鎍,索
U93bb,鎻,锁
U8470,葰,所
U79a2,禢,塌
U5f75,彵,他
U549c,咜,它
U549c,咜,她
U55d2,嗒,塔
U6c93,沓,踏
U5b61,孡,抬
U73c6,珆,台
U6e99,溙,泰
U5ff2,忲,太
U5ff2,忲,态
U5454,呔,汰
U8caa,貪,贪
U58b5,墵,坛
U619b,憛,潭
U8ac7,談,谈
U94bd,钽,坦
U6e60,湠,碳
U5606,嘆,叹
U6e60,湠,炭
U9967,饧,汤
U6e8f,溏,塘
U6f1f,漟,堂
U6a56,橖,棠
U746d,瑭,唐
U6e8f,溏,糖
U530b,匋,掏
U6fe4,濤,涛
U746b,瑫,滔
U530b,匋,萄
U6d2e,洮,桃
U6d2e,洮,逃
U530b,匋,淘
U530b,匋,陶
U8a0e,討,讨
U99e6,駦,藤
U99e6,駦,腾
U5e9d,庝,疼
U73f6,珶,梯
U8adf,諟,提
U8da7,趧,题
U6e27,渧,蹄
U6e27,渧,啼
U8ec6,軆,体
U6ad5,櫕,替
U73f6,珶,涕
U73f6,珶,剃
U5c5f,屟,屉
U5172,兲,天
U5a56,婖,添
U7471,瑱,填
U7536,甶,田
U751b,甛,甜
U5a56,婖,舔
U7753,睓,腆
U72e3,狣,挑
U689d,條,条
U6713,朓,跳
U841c,萜,贴
U9244,鉄,铁
U841c,萜,帖
U5ef0,廰,厅
U539b,厛,听
U4fb9,侹,廷
U6e1f,渟,停
U6e1f,渟,亭
U4fb9,侹,庭
U4fb9,侹,挺
U55f5,嗵,通
U79f1,秱,桐
U54c3,哃,同
U606b,恫,铜
U6d75,浵,彤
U50ee,僮,童
U7867,硧,桶
U7867,硧,捅
U833c,茼,筒
U7d71,統,统
U75cc,痌,痛
U5078,偸,偷
U982d,頭,头
U79bf,禿,秃
U6e65,湥,突
U5716,圖,图
U5f99,徙,徒
U84a4,蒤,途
U51c3,凃,涂
U5edc,廜,屠
U6c62,汢,土
U6c62,汢,吐
U514e,兎,兔
U5718,團,团
U84f7,蓷,推
U8e46,蹆,腿
U8e46,蹆,褪
U8e46,蹆,退
U660b,昋,吞
U67c2,柂,拖
U4edb,仛,托
U812b,脫,脱
U8889,袉,鸵
U62d5,拕,陀
U99de,駞,驮
U8889,袉,驼
U92d6,鋖,妥
U6cb0,沰,拓
U54c7,哇,洼
U54c7,哇,娃
U5493,咓,瓦
U896a,襪,袜
U8fef,迯,外
U5846,塆,弯
U5846,塆,湾
U7413,琓,玩
U6c4d,汍,丸
U550d,唍,完
U6db4,涴,碗
U689a,梚,挽
U8115,脕,晚
U5558,啘,婉
U842d,萭,万
U5ff9,忹,汪
U8fcb,迋,王
U5304,匄,亡
U5ff9,忹,枉
U86e7,蛧,网
U6680,暀,往
U5ff9,忹,旺
U6722,朢,望
U83a3,莣,忘
U5a99,媙,威
U8636,蘶,巍
U5db6,嶶,微
U4f79,佹,危
U9055,違,违
U570d,圍,围
U60df,惟,唯
U6f59,潙,为
U60df,惟,维
U5d23,崣,萎
U9036,逶,委
U5049,偉,伟
U6ca9,沩,伪
U5c57,屗,尾
U6cac,沬,未
U589b,墛,蔚
U83cb,菋,味
U5d54,嵔,畏
U5aa6,媦,胃
U5d54,嵔,喂
U8636,蘶,魏
U8385,莅,位
U5aa6,媦,谓
U589b,墛,尉
U589b,墛,慰
U885e,衞,卫
U6eab,溫,温
U87a1,螡,蚊
U598f,妏,文
U805e,聞,闻
U922b,鈫,纹
U6c95,沕,吻
U7a4f,穏,稳
U554f,問,问
U6ec3,滃,嗡
U66a1,暡,翁
U7aa9,窩,蜗
U7171,煱,涡
U7a89,窉,窝
U83aa,莪,我
U81e5,臥,卧
U6943,楃,握
U8381,莁,巫
U55da,嗚,呜
U70cf,烏,乌
U6c5a,汚,污
U8381,莁,诬
U5053,偓,屋
U5638,嘸,无
U856a,蕪,芜
U5704,圄,吾
U5449,呉,吴
U5a2c,娬,武
U4f0d,伍,五
U5704,圄,捂
U5418,吘,午
U6a46,橆,舞
U2464,⑤,伍
U971a,霚,雾
U7c85,粅,物
U5322,匢,勿
U52d9,務,务
U5704,圄,悟
U8aa4,誤,误
U539d,厝,昔
U51de,凞,熙
U553d,唽,析
U8980,覀,西
U6271,扱,吸
U5536,唶,锡
U72a0,犠,牺
U6d60,浠,稀
U550f,唏,希
U6c50,汐,夕
U539d,厝,惜
U6e13,渓,溪
U7fd2,習,习
U79a7,禧,喜
U51bc,冼,洗
U4fc2,係,系
U6231,戱,戏
U7d30,細,细
U78cd,磍,瞎
U846d,葭,霞
U8f44,轄,辖
U53da,叚,暇
U6d79,浹,峡
U6d79,浹,侠
U6d79,浹,狭
U8290,芐,下
U55c4,嗄,夏
U5737,圷,吓
U9528,锨,掀
U59fa,姺,先
U4f61,佡,仙
U9bae,鮮,鲜
U6c58,汘,纤
U8ce2,賢,贤
U929c,銜,衔
U5a34,娴,闲
U59b6,妶,弦
U6e93,溓,嫌
U967a,険,险
U54ef,哯,现
U737b,獻,献
U7e23,縣,县
U9665,陥,馅
U7fa8,羨,羡
U9665,陥,陷
U7dda,線,线
U697f,楿,相
U842b,萫,香
U8459,葙,箱
U8297,芗,乡
U8a73,詳,详
U59e0,姠,响
U554d,啍,享
U9819,頙,项
U6f52,潒,橡
U6f52,潒,像
U59e0,姠,向
U6f52,潒,象
U7c18,簘,萧
U8437,萷,削
U6d8d,涍,哮
U54d3,哓,晓
U5c12,尒,小
U6d8d,涍,孝
U56a1,嚡,鞋
U62f9,拹,协
U633e,挾,挟
U5ceb,峫,邪
U8105,脅,胁
U5588,喈,谐
U51a9,冩,写
U6088,悈,械
U5563,啣,卸
U6fa5,澥,懈
U7ec1,绁,泄
U7009,瀉,泻
U586e,塮,谢
U8572,蕲,薪
U4ffd,俽,欣
U5397,厗,辛
U567a,噺,新
U677a,杺,心
U6692,暒,星
U7772,睲,腥
U7772,睲,猩
U7446,瑆,惺
U8208,興,兴
U9276,鉶,刑
U4f80,侀,型
U90c9,郉,邢
U57b3,垳,行
U7446,瑆,醒
U5709,圉,幸
U8395,莕,杏
U60bb,悻,性
U72cc,狌,姓
U5147,兇,兄
U5147,兇,凶
U6d36,洶,胸
U718b,熋,熊
U54bb,咻,休
U4fe2,俢,修
U9948,饈,羞
U6eb4,溴,嗅
U7407,琇,锈
U83a0,莠,秀
U6b54,歔,墟
U6fe1,濡,需
U6b54,歔,虚
U6b54,歔,嘘
U6e4f,湏,须
U4fc6,俆,徐
U6c7b,汻,许
U6e86,溆,叙
U65ee,旮,旭
U57bf,垿,序
U80e5,胥,婿
U7dd2,緒,绪
U7e8c,續,续
U84d2,蓒,轩
U5a97,媗,喧
U5a97,媗,宣
U5ad9,嫙,旋
U7386,玆,玄
U9078,選,选
U59b6,妶,眩
U7d62,絢,绚
U6569,敩,学
U6cec,泬,穴
U81a4,膤,雪
U6d2b,洫,血
U52db,勛,勋
U63d7,揗,循
U6d35,洵,旬
U54b0,咰,询
U6d54,浔,寻
U7d03,紃,驯
U5ef5,廵,巡
U54b0,咰,殉
U5342,卂,汛
U8a13,訓,训
U5342,卂,讯
U905c,遜,逊
U5342,卂,迅
U58d3,壓,压
U5477,呷,押
U9d09,鴉,鸦
U9d28,鴨,鸭
U5416,吖,呀
U5416,吖,丫
U538a,厊,芽
U538a,厊,牙
U8565,蕥,雅
U555e,啞,哑
U4e9e,亞,亚
U51b4,冴,讶
U6f39,漹,焉
U7159,煙,烟
U6b97,殗,淹
U9e7d,鹽,盐
U56b4,嚴,严
U598d,妍,研
U5571,啱,岩
U5a2b,娫,延
U8a01,訁,言
U9854,顔,颜
U95bb,閻,阎
U70fe,烾,炎
U6b97,殗,掩
U6e6e,湮,演
U6edf,滟,艳
U5b3f,嬿,燕
U53ad,厭,厌
U7196,熖,焰
U533d,匽,宴
U9a13,験,验
U59ce,姎,央
U9d26,鴦,鸯
U661c,昜,杨
U5a78,婸,扬
U54a9,咩,羊
U6a23,樣,洋
U967d,陽,阳
U536c,卬,仰
U7662,癢,痒
U990a,養,养
U6a23,樣,样
U7f95,羕,漾
U64bd,撽,邀
U5d3e,崾,腰
U5c86,岆,妖
U612e,愮,瑶
U612e,愮,摇
U6edb,滛,遥
U7ab0,窰,窑
U612e,愮,谣
U70d1,烑,姚
U5406,吆,咬
U846f,葯,药
U5a79,婹,要
U503b,倻,椰
U503b,倻,耶
U723a,爺,爷
U5622,嘢,野
U7afe,竾,也
U9801,頁,页
U9134,鄴,业
U65ea,旪,叶
U6db2,液,夜
U2460,①,一
U6098,悘,医
U7569,畩,依
U541a,吚,伊
U6246,扆,衣
U7c03,簃,移
U5100,儀,仪
U5bf2,寲,疑
U4f87,侇,姨
U638e,掎,椅
U638e,掎,倚
U5df3,巳,已
U4e41,乁,乙
U59d2,姒,以
U517f,兿,艺
U661c,昜,易
U5104,億,亿
U6d02,洂,亦
U5b11,嬑,意
U85d9,藙,毅
U7fa9,義,义
U8c25,谥,益
U8b6f,譯,译
U7570,異,异
U7b43,筃,茵
U6d07,洇,因
U5837,堷,音
U9682,隂,阴
U7d6a,絪,姻
U8376,荶,吟
U6aad,檭,银
U5a6c,婬,淫
U5924,夤,寅
U98ee,飮,饮
U541a,吚,尹
U5432,吲,引
U967b,陻,隐
U831a,茚,印
U6e36,渶,英
U748e,璎,樱
U748e,璎,婴
U61c9,應,应
U7469,瑩,莹
U71df,營,营
U8fca,迊,迎
U76c1,盁,盈
U9895,颕,颖
U54fd,哽,硬
U770f,眏,映
U55b2,喲,哟
U783d,砽,拥
U783d,砽,佣
U6efd,滽,庸
U6fad,澭,雍
U603a,怺,咏
U603a,怺,泳
U6080,悀,涌
U603a,怺,永
U6e67,湧,勇
U9f21,鼡,用
U8c73,豳,幽
U6c8b,沋,优
U6efa,滺,悠
U6c8b,沋,忧
U7534,甴,由
U6c8b,沋,犹
U601e,怞,油
U904a,遊,游
U6d27,洧,有
U4f16,伖,友
U7950,祐,右
U7950,祐,佑
U53d2,叒,又
U5b67,孧,幼
U625c,扜,迂
U83f8,菸,淤
U7ea1,纡,于
U6087,悇,余
U63c4,揄,俞
U63c4,揄,逾
U6e14,渔,鱼
U63c4,揄,愉
U63c4,揄,渝
U5a2f,娯,娱
U7399,玙,与
U8362,荢,宇
U5a2a,娪,语
U7821,砡,玉
U5590,喐,郁
U5581,喁,遇
U532c,匬,愈
U617e,慾,欲
U7344,獄,狱
U5537,唷,育
U8b0d,謍,誉
U9810,預,预
U9d1b,鴛,鸳
U68e9,棩,渊
U5bc3,寃,冤
U6c85,沅,元
U5ab4,媴,袁
U53a1,厡,原
U7457,瑗,援
U570e,圎,园
U5712,園,员
U5712,園,圆
U7fb1,羱,源
U7de3,緣,缘
U903a,逺,远
U5917,夗,苑
U849d,蒝,愿
U847e,葾,怨
U962e,阮,院
U7bb9,箹,约
U6a3e,樾,越
U8dde,跞,跃
U6373,捳,岳
U7cb5,粵,粤
U4ef4,仴,月
U54fe,哾,悦
U95b1,閱,阅
U79d0,秐,耘
U56e9,囩,云
U6783,枃,匀
U6b92,殒,陨
U72c1,狁,允
U904b,運,运
U85f4,藴,蕴
U6688,暈,晕
U97fb,韻,韵
U5903,夃,孕
U5482,咂,砸
U5346,卆,杂
U9168,酨,栽
U9168,酨,哉
U707d,災,灾
U9168,酨,载
U4fa2,侢,再
U832c,茬,在
U6d0e,洎,咱
U74d2,瓒,攒
U66ab,暫,暂
U74d2,瓒,赞
U8ccd,賍,赃
U8ccd,賍,脏
U9ad2,髒,葬
U8e67,蹧,遭
U8e67,蹧,糟
U6806,栆,枣
U7681,皁,早
U74aa,璪,澡
U74aa,璪,躁
U74aa,璪,噪
U6165,慥,造
U5523,唣,皂
U74aa,璪,燥
U5ae7,嫧,责
U841a,萚,择
U835d,荝,则
U6fa4,澤,泽
U8cca,賊,贼
U71b7,熷,增
U7494,璔,憎
U5d92,嶒,曾
U71b7,熷,赠
U7d25,紥,扎
U78b4,碴,渣
U9598,閘,闸
U55b3,喳,眨
U643e,搾,榨
U548b,咋,乍
U600d,怍,炸
U600d,怍,诈
U64ff,擿,摘
U643e,搾,窄
U50b5,債,债
U79e5,秥,粘
U8dd5,跕,沾
U65ac,斬,斩
U8e4d,蹍,展
U68e7,棧,栈
U98ad,颭,占
U6230,戰,战
U8dd5,跕,站
U5061,偡,湛
U7dbb,綻,绽
U5d82,嶂,章
U5f35,張,张
U7903,礃,掌
U7c80,粀,杖
U6259,扙,丈
U8cec,賬,帐
U6259,扙,仗
U59b1,妱,招
U8d99,趙,赵
U71f3,燳,照
U72e3,狣,兆
U4f4b,佋,召
U55fb,嗻,遮
U83e5,菥,折
U608a,悊,哲
U937a,鍺,者
U9069,適,这
U6dc5,淅,浙
U6cb4,沴,珍
U5ac3,嫃,真
U6d48,浈,贞
U91dd,針,针
U6d48,浈,侦
U5ff1,忱,枕
U6cb4,沴,诊
U686d,桭,振
U93ae,鎮,镇
U4fe5,俥,阵
U7bdc,篜,蒸
U8acd,諍,挣
U8acd,諍,睁
U59c3,姃,征
U8e2d,踭,争
U59c3,姃,怔
U56f8,囸,正
U70a1,炡,政
U912d,鄭,郑
U59c3,姃,证
U82b7,芷,芝
U6c65,汥,枝
U4f0e,伎,支
U6c65,汥,吱
U5001,倁,蜘
U5001,倁,知
U6c65,汥,肢
U6c65,汥,汁
U3068,と,之
U67b3,枳,织
U8f75,轵,职
U77d7,矗,直
U6dd4,淔,植
U79c7,秇,执
U60ea,惪,值
U6b6e,歮,址
U683a,栺,指
U5735,圵,止
U546e,呮,只
U8879,衹,纸
U68bd,梽,志
U81f8,臸,至
U81f8,臸,致
U6ddb,淛,制
U6f6a,潪,智
U96c9,雉,稚
U8cea,質,质
U83ed,菭,治
U72c6,狆,中
U7b57,筗,忠
U5995,妕,钟
U8520,蔠,终
U7a2e,種,种
U5995,妕,肿
U5045,偅,重
U8846,衆,众
U6d00,洀,舟
U6dcd,淍,周
U8a76,詶,州
U8a76,詶,洲
U76ba,皺,皱
U54ae,咮,珠
U54ae,咮,蛛
U54ae,咮,朱
U854f,蕏,猪
U6e1a,渚,诸
U8c69,豩,逐
U8278,艸,竹
U7151,煑,煮
U77a9,瞩,嘱
U70b7,炷,主
U70b7,炷,柱
U8387,莇,助
U833f,茿,筑
U70b7,炷,住
U70b7,炷,注
U67f7,柷,祝
U8de9,跩,拽
U629f,抟,专
U78da,磚,砖
U556d,啭,转
U8cfa,賺,赚
U5727,圧,庄
U88dd,裝,装
U599d,妝,妆
U735e,獞,撞
U5328,匨,壮
U5328,匨,状
U6425,搥,追
U589c,墜,坠
U7db4,綴,缀
U75fd,痽,准
U6d5e,浞,捉
U70aa,炪,拙
U5a65,婥,卓
U68f9,棹,桌
U6063,恣,咨
U7ca2,粢,资
U6063,恣,姿
U7a35,稵,滋
U6a74,橴,紫
U3075,ふ,子
U6d0e,洎,自
U7278,牸,字
U742e,琮,棕
U742e,琮,踪
U5d08,崈,宗
U742e,琮,综
U7e02,縂,总
U679e,枞,纵
U8d89,趉,走
U6971,楱,奏
U6971,楱,揍
U84a9,蒩,租
U5a16,娖,足
U851f,蔟,族
U8893,袓,祖
U84a9,蒩,诅
U84a9,蒩,阻
U84a9,蒩,组
U947d,鑽,钻
U89dc,觜,嘴
U9154,酔,醉
U6702,朂,最
U5db5,嶵,罪
U6f8a,澊,尊
U5642,噂,遵
U8443,葃,昨
U5497,咗,左
U838b,莋,做
U838b,莋,作
U5511,唑,坐
U84d9,蓙,座
